part_id,part_name,category,kid_friendly_name,what_it_does,skill_level,voltage,usual_qty,buy_search_term,compatible_with,example_projects,common_mistake,safety_note,online_search_robu,online_search_robocraze,online_search_amazon_in,local_store_search_term,priority,applicable_robot_types,why_add,source_gap_id
CON-020,XT30 Connector,"Connectors, Wiring & Harness",Robot wiring part,Creates reliable electrical connections and cable routing in moving robots.,Intermediate,Passive / model dependent,1 kit / several,XT30 Connector,Robot batteries; controllers; sensors; actuators,Robot Wiring Harness,Using loose crimps or wire that is too thin for the current.,"Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=XT30+Connector&post_type=product,https://robocraze.com/search?q=XT30+Connector,https://www.amazon.in/s?k=XT30+Connector,XT30 Connector,P0,All robots,"Robots need vibration-resistant wiring, high-current connectors and moving cable management.",GAP-193
CON-021,XT60 Connector,"Connectors, Wiring & Harness",Robot wiring part,Creates reliable electrical connections and cable routing in moving robots.,Intermediate,Passive / model dependent,1 kit / several,XT60 Connector,Robot batteries; controllers; sensors; actuators,Robot Wiring Harness,Using loose crimps or wire that is too thin for the current.,"Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=XT60+Connector&post_type=product,https://robocraze.com/search?q=XT60+Connector,https://www.amazon.in/s?k=XT60+Connector,XT60 Connector,P0,All robots,"Robots need vibration-resistant wiring, high-current connectors and moving cable management.",GAP-194
CON-022,XT90 Anti-Spark Connector,"Connectors, Wiring & Harness",Robot wiring part,Creates reliable electrical connections and cable routing in moving robots.,Intermediate,Passive / model dependent,1 kit / several,XT90 Anti-Spark Connector,Robot batteries; controllers; sensors; actuators,Robot Wiring Harness,Using loose crimps or wire that is too thin for the current.,"Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=XT90+Anti-Spark+Connector&post_type=product,https://robocraze.com/search?q=XT90+Anti-Spark+Connector,https://www.amazon.in/s?k=XT90+Anti-Spark+Connector,XT90 Anti-Spark Connector,P0,All robots,"Robots need vibration-resistant wiring, high-current connectors and moving cable management.",GAP-195
FRC-001,6-Axis Force/Torque Sensor,"Force, Torque & Tactile",Touch and force sensor,Measures forces and moments at a robot joint or end effector.,Advanced,3.3–5V logic; verify model,1+,6-Axis Force/Torque Sensor,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Using the wrong logic voltage, interface or wiring.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=6-Axis+Force%2FTorque+Sensor&post_type=product,https://robocraze.com/search?q=6-Axis+Force%2FTorque+Sensor,https://www.amazon.in/s?k=6-Axis+Force%2FTorque+Sensor,6-Axis Force/Torque Sensor,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-057
FRC-002,Bumper / Collision Sensor,"Force, Torque & Tactile",Touch and force sensor,"Measures contact, load or force for balance and manipulation.",Advanced,3.3–5V logic; verify model,1+,Bumper / Collision Sensor,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Using the wrong logic voltage, interface or wiring.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Bumper+%2F+Collision+Sensor&post_type=product,https://robocraze.com/search?q=Bumper+%2F+Collision+Sensor,https://www.amazon.in/s?k=Bumper+%2F+Collision+Sensor,Bumper / Collision Sensor,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-064
FRC-003,Capacitive Tactile Sensor,"Force, Torque & Tactile",Touch and force sensor,Detects touch or pressure for contact-aware manipulation.,Advanced,3.3–5V logic; verify model,2–8+,Capacitive Tactile Sensor,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Using the wrong logic voltage, interface or wiring.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Capacitive+Tactile+Sensor&post_type=product,https://robocraze.com/search?q=Capacitive+Tactile+Sensor,https://www.amazon.in/s?k=Capacitive+Tactile+Sensor,Capacitive Tactile Sensor,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-060
FRC-004,Foot Force Sensor,"Force, Torque & Tactile",Touch and force sensor,Measures contact or load for safe and controlled interaction.,Advanced,3.3–5V logic; verify model,2–8+,Foot Force Sensor,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Using the wrong logic voltage, interface or wiring.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Foot+Force+Sensor&post_type=product,https://robocraze.com/search?q=Foot+Force+Sensor,https://www.amazon.in/s?k=Foot+Force+Sensor,Foot Force Sensor,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-063
FRC-005,Force-Sensitive Resistor (FSR),"Force, Torque & Tactile",Touch and force sensor,"Measures contact, load or force for balance and manipulation.",Advanced,Passive / model dependent,2–8+,Force-Sensitive Resistor (FSR),MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Force-Sensitive+Resistor+%28FSR%29&post_type=product,https://robocraze.com/search?q=Force-Sensitive+Resistor+%28FSR%29,https://www.amazon.in/s?k=Force-Sensitive+Resistor+%28FSR%29,Force-Sensitive Resistor (FSR),P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-059
FRC-006,Joint Torque Sensor,"Force, Torque & Tactile",Touch and force sensor,"Measures contact, load or force for balance and manipulation.",Advanced,3.3–5V logic; verify model,1+,Joint Torque Sensor,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Using the wrong logic voltage, interface or wiring.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=Joint+Torque+Sensor&post_type=product,https://robocraze.com/search?q=Joint+Torque+Sensor,https://www.amazon.in/s?k=Joint+Torque+Sensor,Joint Torque Sensor,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-058
FRC-007,Load Cell + HX711,"Force, Torque & Tactile",Touch and force sensor,"Measures contact, load or force for balance and manipulation.",Advanced,Passive / model dependent,1+,Load Cell + HX711,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Load+Cell+%2B+HX711&post_type=product,https://robocraze.com/search?q=Load+Cell+%2B+HX711,https://www.amazon.in/s?k=Load+Cell+%2B+HX711,Load Cell + HX711,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-055
FRC-008,Robotic Skin / Pressure Matrix,"Force, Torque & Tactile",Touch and force sensor,"Measures contact, load or force for balance and manipulation.",Advanced,Passive / model dependent,1+,Robotic Skin / Pressure Matrix,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Robotic+Skin+%2F+Pressure+Matrix&post_type=product,https://robocraze.com/search?q=Robotic+Skin+%2F+Pressure+Matrix,https://www.amazon.in/s?k=Robotic+Skin+%2F+Pressure+Matrix,Robotic Skin / Pressure Matrix,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-062
FRC-009,Single-Axis Force Sensor,"Force, Torque & Tactile",Touch and force sensor,Measures contact or load for safe and controlled interaction.,Advanced,3.3–5V logic; verify model,1+,Single-Axis Force Sensor,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Using the wrong logic voltage, interface or wiring.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Single-Axis+Force+Sensor&post_type=product,https://robocraze.com/search?q=Single-Axis+Force+Sensor,https://www.amazon.in/s?k=Single-Axis+Force+Sensor,Single-Axis Force Sensor,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-056
FRC-010,Tactile Sensor Array,"Force, Torque & Tactile",Touch and force sensor,Detects touch or pressure for contact-aware manipulation.,Advanced,3.3–5V logic; verify model,2–8+,Tactile Sensor Array,MCU/SBC; robot feet; grippers; joints,Humanoid Robot; Robot Dog; Exoskeleton,"Using the wrong logic voltage, interface or wiring.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Tactile+Sensor+Array&post_type=product,https://robocraze.com/search?q=Tactile+Sensor+Array,https://www.amazon.in/s?k=Tactile+Sensor+Array,Tactile Sensor Array,P0,Humanoid; Quadruped; Hand; Cobot; Exoskeleton,"Leg balance, grasping and safe physical interaction depend on force and tactile sensing.",GAP-061
END-001,2-Finger Parallel Gripper,"Hands, Grippers & End Effectors",Robot hand/tool,Lets a robot grasp and manipulate objects.,Advanced,Passive / model dependent,1+,2-Finger Parallel Gripper,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=2-Finger+Parallel+Gripper&post_type=product,https://robocraze.com/search?q=2-Finger+Parallel+Gripper,https://www.amazon.in/s?k=2-Finger+Parallel+Gripper,2-Finger Parallel Gripper,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-101
END-002,3-Finger Robotic Gripper,"Hands, Grippers & End Effectors",Robot hand/tool,Lets a robot grasp and manipulate objects.,Advanced,Passive / model dependent,1+,3-Finger Robotic Gripper,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=3-Finger+Robotic+Gripper&post_type=product,https://robocraze.com/search?q=3-Finger+Robotic+Gripper,https://www.amazon.in/s?k=3-Finger+Robotic+Gripper,3-Finger Robotic Gripper,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-103
END-003,5-Finger Dexterous Robotic Hand,"Hands, Grippers & End Effectors",Robot hand/tool,Provides multi-finger manipulation and human-like grasping.,Advanced,Passive / model dependent,1+,5-Finger Dexterous Robotic Hand,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=5-Finger+Dexterous+Robotic+Hand&post_type=product,https://robocraze.com/search?q=5-Finger+Dexterous+Robotic+Hand,https://www.amazon.in/s?k=5-Finger+Dexterous+Robotic+Hand,5-Finger Dexterous Robotic Hand,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-104
END-004,Adaptive Gripper,"Hands, Grippers & End Effectors",Robot hand/tool,Lets a robot grasp and manipulate objects.,Advanced,Passive / model dependent,1+,Adaptive Gripper,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=Adaptive+Gripper&post_type=product,https://robocraze.com/search?q=Adaptive+Gripper,https://www.amazon.in/s?k=Adaptive+Gripper,Adaptive Gripper,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-102
END-005,Magnetic Gripper,"Hands, Grippers & End Effectors",Robot hand/tool,Lets a robot grasp and manipulate objects.,Advanced,Passive / model dependent,1+,Magnetic Gripper,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=Magnetic+Gripper&post_type=product,https://robocraze.com/search?q=Magnetic+Gripper,https://www.amazon.in/s?k=Magnetic+Gripper,Magnetic Gripper,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-110
END-006,Servo Robotic Hand Kit,"Hands, Grippers & End Effectors",Robot hand/tool,Provides multi-finger manipulation and human-like grasping.,Advanced,Passive / model dependent,1+,Servo Robotic Hand Kit,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Ignoring current, voltage or stall-load ratings.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=Servo+Robotic+Hand+Kit&post_type=product,https://robocraze.com/search?q=Servo+Robotic+Hand+Kit,https://www.amazon.in/s?k=Servo+Robotic+Hand+Kit,Servo Robotic Hand Kit,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-105
END-007,Suction Cup End Effector,"Hands, Grippers & End Effectors",Robot hand/tool,Provides manipulation capability at the end of a robot arm.,Advanced,Passive / model dependent,1+,Suction Cup End Effector,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Suction+Cup+End+Effector&post_type=product,https://robocraze.com/search?q=Suction+Cup+End+Effector,https://www.amazon.in/s?k=Suction+Cup+End+Effector,Suction Cup End Effector,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-108
END-008,Tendon / Cable Drive Kit,"Hands, Grippers & End Effectors",Robot hand/tool,Provides manipulation capability at the end of a robot arm.,Advanced,Passive / model dependent,1+,Tendon / Cable Drive Kit,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Tendon+%2F+Cable+Drive+Kit&post_type=product,https://robocraze.com/search?q=Tendon+%2F+Cable+Drive+Kit,https://www.amazon.in/s?k=Tendon+%2F+Cable+Drive+Kit,Tendon / Cable Drive Kit,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-107
END-009,Tool Changer,"Hands, Grippers & End Effectors",Robot hand/tool,Provides manipulation capability at the end of a robot arm.,Advanced,Passive / model dependent,1+,Tool Changer,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Tool+Changer&post_type=product,https://robocraze.com/search?q=Tool+Changer,https://www.amazon.in/s?k=Tool+Changer,Tool Changer,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-111
END-010,Underactuated Finger Mechanism,"Hands, Grippers & End Effectors",Robot hand/tool,Provides manipulation capability at the end of a robot arm.,Advanced,Passive / model dependent,1+,Underactuated Finger Mechanism,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Underactuated+Finger+Mechanism&post_type=product,https://robocraze.com/search?q=Underactuated+Finger+Mechanism,https://www.amazon.in/s?k=Underactuated+Finger+Mechanism,Underactuated Finger Mechanism,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-106
END-011,Vacuum Pump + Solenoid Valve,"Hands, Grippers & End Effectors",Robot hand/tool,Provides manipulation capability at the end of a robot arm.,Advanced,Passive / model dependent,1+,Vacuum Pump + Solenoid Valve,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Vacuum+Pump+%2B+Solenoid+Valve&post_type=product,https://robocraze.com/search?q=Vacuum+Pump+%2B+Solenoid+Valve,https://www.amazon.in/s?k=Vacuum+Pump+%2B+Solenoid+Valve,Vacuum Pump + Solenoid Valve,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-109
END-012,Wrist Force/Torque Adapter,"Hands, Grippers & End Effectors",Robot hand/tool,Measures forces and moments at a robot joint or end effector.,Advanced,Passive / model dependent,1+,Wrist Force/Torque Adapter,Robot arm/wrist; servo or motor control; power supply,Humanoid Robot; Robotic Arm; Mobile Robot,"Buying by appearance instead of checking dimensions, ratings and interface.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Wrist+Force%2FTorque+Adapter&post_type=product,https://robocraze.com/search?q=Wrist+Force%2FTorque+Adapter,https://www.amazon.in/s?k=Wrist+Force%2FTorque+Adapter,Wrist Force/Torque Adapter,P0,Humanoid; Arm; Mobile Manipulator,A humanoid database is incomplete without dexterous hands and manipulation hardware.,GAP-112
LEG-001,Carbon-Fiber Leg Tube,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Carbon-Fiber Leg Tube,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Carbon-Fiber+Leg+Tube&post_type=product,https://robocraze.com/search?q=Carbon-Fiber+Leg+Tube,https://www.amazon.in/s?k=Carbon-Fiber+Leg+Tube,Carbon-Fiber Leg Tube,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-119
LEG-002,Compliant Foot Pad,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Compliant Foot Pad,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Compliant+Foot+Pad&post_type=product,https://robocraze.com/search?q=Compliant+Foot+Pad,https://www.amazon.in/s?k=Compliant+Foot+Pad,Compliant Foot Pad,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-116
LEG-003,Foot Contact Switch,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Foot Contact Switch,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Foot+Contact+Switch&post_type=product,https://robocraze.com/search?q=Foot+Contact+Switch,https://www.amazon.in/s?k=Foot+Contact+Switch,Foot Contact Switch,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-117
LEG-004,Gas Spring / Mechanical Damper,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,1+,Gas Spring / Mechanical Damper,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Gas+Spring+%2F+Mechanical+Damper&post_type=product,https://robocraze.com/search?q=Gas+Spring+%2F+Mechanical+Damper,https://www.amazon.in/s?k=Gas+Spring+%2F+Mechanical+Damper,Gas Spring / Mechanical Damper,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-123
LEG-005,Hip Abduction Joint,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Hip Abduction Joint,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=Hip+Abduction+Joint&post_type=product,https://robocraze.com/search?q=Hip+Abduction+Joint,https://www.amazon.in/s?k=Hip+Abduction+Joint,Hip Abduction Joint,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-120
LEG-006,Leg Linkage Set,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Leg Linkage Set,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Leg+Linkage+Set&post_type=product,https://robocraze.com/search?q=Leg+Linkage+Set,https://www.amazon.in/s?k=Leg+Linkage+Set,Leg Linkage Set,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-118
LEG-007,Quadruped Hip Joint Bracket,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Quadruped Hip Joint Bracket,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=Quadruped+Hip+Joint+Bracket&post_type=product,https://robocraze.com/search?q=Quadruped+Hip+Joint+Bracket,https://www.amazon.in/s?k=Quadruped+Hip+Joint+Bracket,Quadruped Hip Joint Bracket,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-113
LEG-008,Quadruped Knee Joint Bracket,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Quadruped Knee Joint Bracket,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.",Pinch/crush hazard; test at low current/speed and use an emergency stop on larger robots.,https://robu.in/?s=Quadruped+Knee+Joint+Bracket&post_type=product,https://robocraze.com/search?q=Quadruped+Knee+Joint+Bracket,https://www.amazon.in/s?k=Quadruped+Knee+Joint+Bracket,Quadruped Knee Joint Bracket,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-114
LEG-009,Robot Foot / Paw,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,2–4+,Robot Foot / Paw,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Robot+Foot+%2F+Paw&post_type=product,https://robocraze.com/search?q=Robot+Foot+%2F+Paw,https://www.amazon.in/s?k=Robot+Foot+%2F+Paw,Robot Foot / Paw,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-115
LEG-010,Series Elastic Element,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,1+,Series Elastic Element,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Series+Elastic+Element&post_type=product,https://robocraze.com/search?q=Series+Elastic+Element,https://www.amazon.in/s?k=Series+Elastic+Element,Series Elastic Element,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-121
LEG-011,Shock Absorber,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,1+,Shock Absorber,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Shock+Absorber&post_type=product,https://robocraze.com/search?q=Shock+Absorber,https://www.amazon.in/s?k=Shock+Absorber,Shock Absorber,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-124
LEG-012,Tail Mechanism / Balance Tail,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,1+,Tail Mechanism / Balance Tail,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Tail+Mechanism+%2F+Balance+Tail&post_type=product,https://robocraze.com/search?q=Tail+Mechanism+%2F+Balance+Tail,https://www.amazon.in/s?k=Tail+Mechanism+%2F+Balance+Tail,Tail Mechanism / Balance Tail,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-125
LEG-013,Torsion Spring,Legged & Animaloid Mechanics,Robot leg/body part,"Forms or improves a leg, paw, foot or compliant animal-like mechanism.",Advanced,Passive / model dependent,1+,Torsion Spring,Humanoid/quadruped actuators; bearings; structural links,Robot Dog; Hexapod Robot; Humanoid Robot,"Misalignment, poor fit or undersizing the mechanical load.","Verify datasheet ratings, polarity and safe mounting before powering the robot.",https://robu.in/?s=Torsion+Spring&post_type=product,https://robocraze.com/search?q=Torsion+Spring,https://www.amazon.in/s?k=Torsion+Spring,Torsion Spring,P0,Quadruped; Hexapod; Humanoid; Animaloid,"These parts distinguish legged, animal-inspired robots from wheeled robots.",GAP-122
